id,t,y,a,c,v
20.0,2.0,0.4822373,4.579646,1.2486914,-70.07857
20.0,3.0,0.5285808,3.8910122,1.259302,-60.685513
20.0,4.0,0.6066334,3.2247865,1.3048638,-51.48811
20.0,5.0,0.75737375,2.5781183,1.4136515,-42.506626
20.0,6.0,0.75595737,1.9610618,1.3906358,-33.774982
20.0,7.0,0.5666565,1.3534523,1.3343647,-25.20391
20.0,8.0,0.7193973,0.5976981,1.2195971,-16.769493
20.0,9.0,0.82621545,0.09948806,0.89648104,-8.42909
21.0,0.0,2.1203642,3.5791874,2.124786,-84.61951
21.0,1.0,2.570191,3.64772,2.534423,-75.345474
21.0,2.0,2.174452,3.7586608,2.3989074,-66.41575
21.0,3.0,1.7405182,3.6063323,2.2251368,-57.616394
21.0,4.0,1.3411763,3.185422,1.9838244,-48.92794
21.0,5.0,1.1240699,2.594667,1.7718436,-40.31495
21.0,6.0,1.283247,1.9866258,1.8826343,-31.778292
21.0,7.0,1.3983643,1.4155494,2.062379,-23.462955
21.0,8.0,1.9499706,0.7668724,2.4342613,-15.387895
21.0,9.0,2.3756053,0.28834876,2.509982,-7.6044483
22.0,0.0,2.0569332,9.154451,2.7912385,-81.50982
22.0,1.0,2.4536662,8.591986,3.1005406,-72.485374
22.0,2.0,2.9530516,8.107257,3.4029834,-63.733887
22.0,3.0,1.8115323,7.8135967,2.8463566,-55.236877
22.0,4.0,1.9072982,6.9171147,3.0755377,-46.759735
22.0,5.0,2.2331216,5.8661995,3.403306,-38.516228
22.0,6.0,2.9796662,4.7918525,3.9238846,-30.518982
22.0,7.0,2.4653952,3.9261572,3.517495,-22.792446
22.0,8.0,2.318608,2.9327118,3.210449,-15.1371975
22.0,9.0,1.6750904,2.0825212,2.6397297,-7.5662174
23.0,0.0,0.91107213,8.011879,1.834557,-85.89971
23.0,1.0,0.89643586,7.2330546,1.8438189,-76.48848
23.0,2.0,1.0733436,6.413951,1.9750174,-67.2701
23.0,3.0,1.2304199,5.6247725,2.1418862,-58.297985
23.0,4.0,1.141646,4.809496,2.078458,-49.576336
23.0,5.0,1.1626174,3.951718,2.0968044,-41.003387
23.0,6.0,0.6583915,3.0791135,1.4914409,-32.609276
23.0,7.0,0.8622258,2.2919023,1.6276586,-24.097977
23.0,8.0,1.0452846,1.5576218,1.882875,-15.829485
23.0,9.0,1.252267,0.734726,1.8417434,-7.8435354
24.0,0.0,0.50963944,5.877881,1.2533907,-90.47321
24.0,1.0,0.4363293,5.238908,1.2057687,-80.696526
24.0,2.0,0.49556813,4.5606823,1.2560955,-71.0782
24.0,3.0,0.6215488,3.8777094,1.3352462,-61.690693
24.0,4.0,0.5844184,3.2285836,1.2849224,-52.546993
24.0,5.0,0.6705908,2.5796733,1.3316158,-43.55167
24.0,6.0,0.51262945,1.9578044,1.1811967,-34.76767
24.0,7.0,0.47558624,1.3155482,1.2584852,-26.055542
24.0,8.0,0.40717196,0.54351956,0.8824725,-17.571598
24.0,9.0,0.43637586,0.06961123,0.48837796,-8.956929
25.0,0.0,2.2475328,4.687361,2.3278012,-83.39975
25.0,1.0,2.8346443,4.7011147,2.823134,-74.20997
25.0,2.0,2.5144029,4.808801,2.7510557,-65.376045
25.0,3.0,2.323718,4.6654572,2.8427744,-56.696396
25.0,4.0,1.7854118,4.2310214,2.543648,-48.218193
25.0,5.0,1.784896,3.5436583,2.595138,-39.816654
25.0,6.0,1.7066439,2.7892,2.4514208,-31.599636
25.0,7.0,2.1926262,2.086146,2.8463,-23.500946
25.0,8.0,1.5613136,1.4617066,2.3401875,-15.681887
25.0,9.0,1.2206819,0.69676805,1.7859427,-7.867704
26.0,0.0,1.8466568,3.0716515,1.8852984,-85.08603
26.0,1.0,2.1090198,3.0949082,2.1406524,-75.70043
26.0,2.0,1.7697186,3.1257913,2.0123227,-66.61864
26.0,3.0,1.9007632,2.9420276,2.2313135,-57.663292
26.0,4.0,1.7642436,2.6647725,2.2502496,-48.97724
26.0,5.0,1.9875324,2.223231,2.4780161,-40.472107
26.0,6.0,1.5830321,1.7681094,2.1325157,-32.217056
26.0,7.0,1.9565946,1.2434957,2.5274978,-24.004707
26.0,8.0,1.2190402,0.686319,1.7395424,-16.09221
26.0,9.0,1.3142471,0.1692008,1.4331309,-8.04278
27.0,0.0,1.1216599,3.450842,1.4109389,-87.09971
27.0,1.0,1.1443295,3.2260845,1.4497105,-77.4381
27.0,2.0,1.0424896,2.9803095,1.4265296,-67.99536
27.0,3.0,1.4303892,2.6492543,1.8097478,-58.726555
27.0,4.0,1.831195,2.31622,2.2397046,-49.856697
27.0,5.0,2.1782918,1.9466434,2.5713422,-41.34757
27.0,6.0,1.6611578,1.5852989,2.1800537,-33.12298
27.0,7.0,1.509874,1.0881662,2.1009822,-24.928715
27.0,8.0,1.0032825,0.50720197,1.4144521,-16.868616
27.0,9.0,0.6172023,0.09799223,0.69138825,-8.650925
28.0,0.0,1.970575,9.125991,2.727146,-79.94385
28.0,1.0,2.3057075,8.540224,3.0107343,-70.89842
28.0,2.0,2.7821827,7.9950995,3.283648,-62.12116
28.0,3.0,3.3260584,7.646566,3.772566,-53.59376
28.0,4.0,4.5071354,7.3469977,4.890287,-45.352108
28.0,5.0,4.509059,7.105966,5.253992,-37.482178
28.0,6.0,3.996018,6.4908495,4.987396,-29.824772
28.0,7.0,2.8635287,5.6117063,4.2163033,-22.281338
28.0,8.0,2.9917397,4.3458486,4.166893,-14.763562
28.0,9.0,2.3229394,3.2354033,3.3527496,-7.3874516
29.0,0.0,0.9797359,1.6571426,1.1051229,-91.44257
29.0,1.0,0.97626835,1.5630158,1.0769367,-81.54203
29.0,2.0,0.80584484,1.4921913,0.97702456,-71.8144
29.0,3.0,0.788363,1.347971,1.0272434,-62.18805
29.0,4.0,0.7273769,1.1317251,1.0476686,-52.8014
29.0,5.0,0.76084906,0.8279933,1.1632141,-43.620567
29.0,6.0,1.0544385,0.43431458,1.3345349,-34.716988
29.0,7.0,0.7148669,0.1573655,0.83047307,-26.110548
29.0,8.0,0.7143197,0.042611543,0.730586,-17.266521
29.0,9.0,0.83519715,0.026882911,0.8365697,-8.487593
30.0,0.0,0.40091377,3.4657037,0.87315,-94.284096
30.0,1.0,0.24696058,3.0545585,0.7682444,-84.14752
30.0,2.0,0.26247662,2.584974,0.7532203,-74.08571
30.0,3.0,0.30617666,2.1369698,0.7726872,-64.20564
30.0,4.0,0.3455745,1.7045503,0.81049246,-54.547848
30.0,5.0,0.35967427,1.2649307,0.8913088,-45.128315
30.0,6.0,0.42073804,0.7482614,0.9542915,-35.984497
30.0,7.0,0.5235925,0.2190897,0.7026255,-27.08453
30.0,8.0,0.5531789,0.040874127,0.5724816,-18.091412
30.0,9.0,0.411428,0.022011692,0.41875112,-9.095764
31.0,0.0,1.0096,8.312359,1.9470658,-84.75427
31.0,1.0,1.0112717,7.5254006,1.9762279,-75.39888
31.0,2.0,1.2237256,6.694331,2.1266706,-66.24422
31.0,3.0,1.5323719,5.9095774,2.4067945,-57.33823
31.0,4.0,1.5576639,5.137913,2.5215914,-48.717693
31.0,5.0,1.549822,4.2591686,2.5247924,-40.308838
31.0,6.0,1.6052717,3.3512225,2.5009906,-32.069206
31.0,7.0,1.2444298,2.505616,2.0149937,-23.986712
31.0,8.0,1.1570514,1.7704613,2.0007985,-15.8928585
31.0,9.0,0.83498085,0.94562674,1.5988051,-7.955275
32.0,0.0,0.8066614,9.671403,2.0076132,-84.72381
32.0,1.0,0.7765284,8.643317,1.9359484,-75.39702
32.0,2.0,1.1507764,7.6366296,2.2236943,-66.22348
32.0,3.0,1.0132282,6.6976647,2.1246474,-57.35714
32.0,4.0,1.1528131,5.7002506,2.2660978,-48.628437
32.0,5.0,1.153117,4.6805773,2.2042954,-40.12927
32.0,6.0,1.625494,3.7034683,2.6102786,-31.77702
32.0,7.0,1.2766879,2.774167,2.0935946,-23.729023
32.0,8.0,1.0464158,1.9972042,1.910348,-15.666084
32.0,9.0,1.4409552,1.1564001,2.2393727,-7.691696
33.0,0.0,0.49994957,4.358097,1.0536401,-91.04778
33.0,1.0,0.42457747,3.8820474,1.0125734,-81.09989
33.0,2.0,0.44784188,3.361277,1.0261524,-71.31213
33.0,3.0,0.56690985,2.8397617,1.1042439,-61.732895
33.0,4.0,0.48211217,2.349416,1.0364122,-52.41384
33.0,5.0,0.55499625,1.831751,1.0952924,-43.223087
33.0,6.0,0.48024145,1.3178111,1.1266606,-34.26578
33.0,7.0,0.7321447,0.6850938,1.2549,-25.512375
33.0,8.0,0.7694158,0.16565153,0.8982627,-17.026009
33.0,9.0,0.8889785,0.03755573,0.8991271,-8.426605
34.0,0.0,1.7769649,1.8652225,1.729071,-88.44372
34.0,1.0,2.0045102,1.9521595,1.9287031,-78.976585
34.0,2.0,1.5647135,2.0693538,1.6826277,-69.799614
34.0,3.0,1.3636042,1.9912649,1.6416028,-60.68258
34.0,4.0,0.92808914,1.7482309,1.3213654,-51.725815
34.0,5.0,0.80714715,1.3826069,1.2658161,-42.755615
34.0,6.0,1.0139704,0.9427938,1.5202928,-33.926983
34.0,7.0,0.71080196,0.44537905,1.0693806,-25.431976
34.0,8.0,0.9520545,0.08857177,1.0035763,-16.808758
34.0,9.0,1.034327,0.03780613,1.0408534,-8.304162
35.0,0.0,1.2183478,3.0919087,1.4421756,-88.97453
35.0,1.0,1.261579,2.926613,1.495831,-79.33407
35.0,2.0,1.1157186,2.7473075,1.4446619,-69.92085
35.0,3.0,0.7759031,2.4677186,1.2208483,-60.663742
35.0,4.0,0.96030474,2.0640545,1.4149297,-51.43777
35.0,5.0,1.2709758,1.642275,1.7144645,-42.52873
35.0,6.0,1.220897,1.2232513,1.7488586,-33.963924
35.0,7.0,1.1435978,0.70947933,1.6323878,-25.587067
35.0,8.0,0.7189995,0.22519328,0.9039417,-17.320974
35.0,9.0,0.61314976,0.041072525,0.6334373,-8.726989
36.0,0.0,0.4358517,3.111329,0.8566934,-93.03998
36.0,1.0,0.33915725,2.7453952,0.78826815,-82.88411
36.0,2.0,0.34242913,2.3431473,0.7678092,-72.848145
36.0,3.0,0.42496794,1.9569054,0.83420515,-62.987015
36.0,4.0,0.49003577,1.5792533,0.9078072,-53.40292
36.0,5.0,0.6722513,1.1851858,1.1351843,-44.089592
36.0,6.0,0.74567014,0.7369927,1.2264173,-35.164272
36.0,7.0,0.7697792,0.26147512,0.9740347,-26.484814
36.0,8.0,0.6213661,0.05838731,0.65516764,-17.780687
36.0,9.0,0.50961614,0.025087534,0.51727766,-8.905583
37.0,0.0,0.86627746,7.174711,1.6851339,-87.20525
37.0,1.0,0.84479535,6.485566,1.6979866,-77.71372
37.0,2.0,0.96394056,5.747321,1.7922105,-68.41907
37.0,3.0,0.8814509,5.0194397,1.7668433,-59.359383
37.0,4.0,0.74469936,4.2184153,1.5973058,-50.468224
37.0,5.0,0.86048865,3.434499,1.6914542,-41.666546
37.0,6.0,0.85198385,2.6566668,1.5894853,-33.090157
37.0,7.0,0.77397716,1.9583318,1.5299388,-24.632874
37.0,8.0,0.8110722,1.2269082,1.6276478,-16.31303
37.0,9.0,0.80332184,0.4187067,1.1667198,-8.209905
38.0,0.0,1.1522886,0.6564045,1.1531754,-88.490105
38.0,1.0,1.1812104,0.6688956,1.0982828,-78.631615
38.0,2.0,0.8590499,0.7671665,0.8870301,-68.92306
38.0,3.0,1.3084791,0.7542717,1.3421202,-59.20324
38.0,4.0,2.047265,0.7353374,2.0281427,-50.064224
38.0,5.0,1.7064875,0.76985675,1.9302322,-41.470245
38.0,6.0,1.171199,0.5572573,1.5080235,-33.006363
38.0,7.0,1.2633784,0.22493139,1.4036918,-24.504469
38.0,8.0,1.4576102,0.08634487,1.4830378,-16.112663
38.0,9.0,1.6374471,0.062160466,1.642632,-7.9337907
39.0,0.0,1.9579523,9.528408,2.7735713,-81.78907
39.0,1.0,2.28492,8.890601,3.064113,-72.758896
39.0,2.0,2.9396982,8.276947,3.4190023,-63.99704
39.0,3.0,2.8824978,7.956778,3.510629,-55.504017
39.0,4.0,3.108329,7.478211,3.970427,-47.20284
39.0,5.0,2.4086108,6.751136,3.7395856,-39.1672
39.0,6.0,1.8936285,5.5307755,3.231941,-31.244955
39.0,7.0,1.4210054,4.2780232,2.622162,-23.367062
39.0,8.0,1.2669879,3.1396596,2.2200742,-15.483605
39.0,9.0,1.4511645,2.2311974,2.4331071,-7.62814
40.0,0.0,0.46686718,4.0814137,0.99572635,-92.921776
40.0,1.0,0.382887,3.6250556,0.9462085,-82.917496
40.0,2.0,0.40233126,3.1242185,0.95050585,-73.063156
40.0,3.0,0.4738435,2.6286163,0.9907295,-63.410286
40.0,4.0,0.44827613,2.1548269,0.97150373,-53.989594
40.0,5.0,0.4233549,1.6648971,0.968224,-44.739204
40.0,6.0,0.4208202,1.1428857,1.0644628,-35.67076
40.0,7.0,0.52194065,0.5094318,0.943083,-26.8675
40.0,8.0,0.4055394,0.090091266,0.47567162,-18.135221
40.0,9.0,0.47656038,0.02036636,0.4805726,-8.971373
41.0,0.0,0.46156222,4.6655655,1.063525,-89.86536
41.0,1.0,0.37586096,4.146533,1.0126575,-79.92674
41.0,2.0,0.40760037,3.5813637,1.0331357,-70.13907
41.0,3.0,0.38840705,3.0161514,0.9870925,-60.56633
